id,event_type,event_cause,latitude,longitude,address,zone,junction,corridor,priority,start_datetime,status,impact_score,closure_prob,predicted_duration_hrs,alert_level,manpower,barricades,diversion_routes,patrol_freq_min,action_notes
FKID000019,unplanned,vehicle_breakdown,13.0001393,77.5840594,"Sankey Road, MD Nanjundaswamy Circle, Rajamahal Guttahalli, Bengaluru, Karnataka. Pin-560003 (India)",,,Bellary Road 1,High,2024-01-30 04:49:17.231+00,closed,0.2567359720965256,0.0053688134,0.7397214517708627,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000020,unplanned,vehicle_breakdown,12.9071221,77.6286395,"Hosur Road, Vivekananda Circle, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",,,Hosur Road,High,2024-03-07 19:25:04.302+00,closed,0.3514242552038017,0.032079726,0.8082978629837919,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000021,unplanned,tree_fall,12.927375,77.5806883,"5th Main Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",,,Non-corridor,Low,2024-03-07 19:45:16.034+00,closed,3.8209136060621502,0.9542787,27.48217203359469,MEDIUM,10,23,1,30,🚧 Pre-position barricades at both ends of affected corridor. | 🕐 Plan for sustained deployment (~27.5 hrs). Schedule shift rotation.
FKID000022,unplanned,pot_holes,12.9169074,77.5950955,"South End Main Road, East End Circle, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",South Zone 1,28thMainJayanagarJunc,Non-corridor,Low,2024-01-05 22:35:41.185+00,closed,0.32664397477808976,0.01785164,12.523613614527036,LOW,5,0,0,60,🕐 Plan for sustained deployment (~12.5 hrs). Schedule shift rotation.
FKID000023,unplanned,pot_holes,12.9667047,77.6615983,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",,,,Low,2024-01-30 08:32:47.117+00,active,0.23121836817166466,0.007672708,11.67793669780167,LOW,5,0,0,60,🕐 Plan for sustained deployment (~11.7 hrs). Schedule shift rotation.
FKID000024,unplanned,water_logging,12.8966387,77.7202071,"Sarjapura Main Road, Kodathi Gate, Kodathi, Bengaluru, Karnataka. Pin-560035 (India)",,,Non-corridor,Low,2024-03-07 19:55:24.461+00,active,0.3815779681618707,0.0055916584,20.686123601684667,LOW,5,0,0,60,🕐 Plan for sustained deployment (~20.7 hrs). Schedule shift rotation.
FKID000025,unplanned,tree_fall,12.9463911,77.597326,"12th Cross Road, Lakksandra Extension, Wilson Garden, Bengaluru, Karnataka. Pin-560030 (India)",,,Non-corridor,Low,2024-03-07 06:09:19.361+00,closed,3.4222099094035068,0.9511967,5.315517859469366,MEDIUM,7,23,1,30,🚧 Pre-position barricades at both ends of affected corridor. | 🕐 Plan for sustained deployment (~5.3 hrs). Schedule shift rotation.
FKID000026,unplanned,pot_holes,12.9856042,77.5977438,"Queens Road, HVS Apartment, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,,,High,2024-01-30 08:35:04.399+00,active,0.39110491853271306,0.023693204,4.7530688452234635,LOW,2,0,0,60,🕐 Plan for sustained deployment (~4.8 hrs). Schedule shift rotation.
FKID000027,unplanned,vehicle_breakdown,12.9077383,77.6005709,"Bannerghatta Main Road, JD Mara Junction, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",,,Bannerghata Road,High,2024-01-30 08:12:47.138+00,closed,0.32542596293891146,0.02540942,0.6567429550515338,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000028,unplanned,pot_holes,12.9635109,77.6642122,"Suranjan Das Road, Officers Quarters, Airport Area, Bengaluru, Karnataka. Pin-560017 (India)",,,,Low,2024-01-30 08:25:57.212+00,closed,0.2005648340967817,0.006703304,10.120186890519932,LOW,5,0,0,60,🕐 Plan for sustained deployment (~10.1 hrs). Schedule shift rotation.
FKID000029,unplanned,pot_holes,12.9667073,77.6615616,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",,,,Low,2024-01-30 08:31:37.367+00,active,0.23121836817166466,0.007672708,11.67793669780167,LOW,5,0,0,60,🕐 Plan for sustained deployment (~11.7 hrs). Schedule shift rotation.
FKID000030,unplanned,pot_holes,12.9666867,77.6616478,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",,,Non-corridor,Low,2024-01-30 08:33:55.212+00,active,0.4626452950609359,0.04291179,17.85451615408848,LOW,5,0,0,60,🕐 Plan for sustained deployment (~17.9 hrs). Schedule shift rotation.
FKID000031,unplanned,vehicle_breakdown,12.907814,77.6006561,"Bannerghatta Main Road, Srinivas Industrial Estate, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",,,Bannerghata Road,High,2024-01-30 08:08:05.581+00,closed,0.32542596293891146,0.02540942,0.6567429550515338,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000032,unplanned,vehicle_breakdown,12.8955737,77.5993711,"Bannerghatta Main Road, Indian Institute of Management, Bengaluru, Karnataka. Pin-560076 (India)",,,Bannerghata Road,High,2024-01-30 05:43:18.534+00,closed,0.35370942213251777,0.032273952,0.9000340575914082,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000033,unplanned,tree_fall,12.92757,77.5832051,"9th Main Road, Geeta Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",,,Non-corridor,Low,2024-03-07 20:06:03.523+00,closed,2.9118602963621414,0.74335694,17.72063512084028,MEDIUM,10,18,1,30,🚧 Pre-position barricades at both ends of affected corridor. | 🕐 Plan for sustained deployment (~17.7 hrs). Schedule shift rotation.
FKID000034,unplanned,congestion,13.044697,77.5828546,"Outer Ring Road, Abdul Patel Syed Layout, Bhoopasandra, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",,,ORR North 2,High,2024-01-30 05:38:15.485+00,closed,0.26909336489079644,0.002531382,2.013344426460637,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000035,unplanned,pot_holes,12.9666885,77.6616396,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",,,,Low,2024-01-30 08:35:57.672+00,active,0.23121836817166466,0.007672708,11.67793669780167,LOW,5,0,0,60,🕐 Plan for sustained deployment (~11.7 hrs). Schedule shift rotation.
FKID000036,unplanned,vehicle_breakdown,12.9789228,77.5644032,"Magadi Road, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)",,,Magadi Road,High,2024-03-07 20:17:50.952+00,closed,0.3127691653026437,0.020443326,0.9267155423237907,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000037,unplanned,accident,12.8636494,77.6725849,"Doddanagamangala Road, Sri Rajarajeshwari Nagar, Doddanagamangala, Bengaluru, Karnataka. Pin-560100 (India)",,,Non-corridor,Low,2024-01-30 03:52:59.126038+00,closed,0.0693073759320051,0.016218629,0.7166956285219562,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000038,unplanned,vehicle_breakdown,12.9219483,77.6002467,"Bannerghatta Main Road, Opulent Spire, Block 9, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",,,Bannerghata Road,High,2024-01-30 15:15:10.139+00,closed,0.33252433276966453,0.027036678,0.7369120840772246,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000039,unplanned,pot_holes,12.9666597,77.661556,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",,,,Low,2024-01-30 08:37:16.322+00,active,0.23121836817166466,0.007672708,11.67793669780167,LOW,5,0,0,60,🕐 Plan for sustained deployment (~11.7 hrs). Schedule shift rotation.
FKID000040,planned,construction,12.946469,77.6986754,"Outer Ring Road, Sumadhura Platinum Square, Kadubisanahalli, Bengaluru, Karnataka. Pin-560037 (India)",,,ORR East 1,High,2024-01-30 11:31:12.848+00,closed,1.4193836399757074,0.27175108,13.900281070772852,LOW,5,0,0,60,🕐 Plan for sustained deployment (~13.9 hrs). Schedule shift rotation. | 📋 Pre-deploy resources 2 hours before event start.
FKID000041,unplanned,others,12.9936273,77.5844677,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,,Bellary Road 1,High,2024-03-07 20:20:31.14+00,closed,3.103756289860487,0.8009382,4.3127199116706825,MEDIUM,7,20,1,30,🚧 Pre-position barricades at both ends of affected corridor. | 🕐 Plan for sustained deployment (~4.3 hrs). Schedule shift rotation.
FKID000042,unplanned,vehicle_breakdown,12.9465079,77.6986339,"Outer Ring Road, Sumadhura Platinum Square, Kadubisanahalli, Bengaluru, Karnataka. Pin-560037 (India)",,,ORR East 1,High,2024-01-30 20:38:19.329+00,closed,0.4692449727846738,0.065814264,0.7940034025825571,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000043,unplanned,vehicle_breakdown,13.0467058,77.5036495,"6th Main Road, The Edge, Nagasandra, Bengaluru, Karnataka. Pin-560073 (India)",,,Non-corridor,Low,2024-03-07 18:29:50.857+00,closed,0.4470842545861283,0.124671996,0.6132725626756982,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000044,unplanned,vehicle_breakdown,13.0166142,77.5054464,"14th Cross Road, Industrial Area Stage 3, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",West Zone 1,Peenya14thCrossJunc,Non-corridor,Low,2023-12-28 06:06:26.375+00,closed,0.2641480865890883,0.06819893,1.0258202372000464,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000045,planned,construction,13.0085677,77.6131497,"Shampura Main Road, AK Colony, Devarajeevana Halli, Bengaluru, Karnataka. Pin-560045 (India)",,,Non-corridor,Low,2024-01-30 21:21:10.303+00,closed,3.710687638284785,0.9812076,15.79776496898688,MEDIUM,10,24,1,30,🚧 Pre-position barricades at both ends of affected corridor. | 🕐 Plan for sustained deployment (~15.8 hrs). Schedule shift rotation. | 📋 Pre-deploy resources 2 hours before event start.
FKID000046,unplanned,vehicle_breakdown,13.0309717,77.5364661,"Mumbai Bengaluru Highway, Gorguntepalya Junction, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",,,Tumkur Road,High,2024-01-30 19:33:25.417+00,closed,0.2683405952359952,0.008985577,0.679490065039439,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000047,unplanned,others,13.0262806,77.5442344,"1st Main Road, Sri Vijayamaruthi Circle, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",,,Tumkur Road,High,2024-03-07 20:27:15.443+00,closed,0.47234966353316676,0.043469664,5.4403338521659785,LOW,2,0,0,60,🕐 Plan for sustained deployment (~5.4 hrs). Schedule shift rotation.
FKID000048,unplanned,tree_fall,12.9938639,77.5844374,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,,Bellary Road 1,High,2024-03-07 20:41:41.999+00,closed,2.730175506031542,0.6436317,14.426553530694694,MEDIUM,10,16,1,30,🚧 Pre-position barricades at both ends of affected corridor. | 🕐 Plan for sustained deployment (~14.4 hrs). Schedule shift rotation.
FKID000049,unplanned,vehicle_breakdown,12.9188682,77.6687736,"Sarjapura Main Road, Sri Balaji Layout, Bellandur Gate, Bellandur, Bengaluru, Karnataka. Pin-560102 (India)",,,ORR East 1,High,2024-01-30 21:27:52.454+00,closed,0.3147495577918418,0.02264558,0.5994301761157634,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000050,unplanned,congestion,12.9546127,77.6423399,"Nagasandra Road, Serenity Layout, Domlur, Bengaluru, Karnataka. Pin-560071 (India)",,,IRR(Thanisandra road),High,2024-01-30 20:46:34.356+00,closed,0.4635018092520604,0.057678785,2.092918737318231,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000051,unplanned,vehicle_breakdown,12.936133,77.5187044,"Sri Sri Sri Tiruchi Mahaswamiji Road, Rajarajeshwari Junction, Nayandahalli, Bengaluru, Karnataka. Pin-560039 (India)",,,Mysore Road,High,2024-01-30 21:13:55.445+00,closed,0.40994106215025633,0.047448013,1.0784579922957944,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000052,planned,construction,12.9694079,77.7006346,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",,,ORR East 2,High,2024-01-30 20:56:01.732+00,closed,0.9462083130582414,0.027598685,35.69216651294482,LOW,5,0,0,60,🕐 Plan for sustained deployment (~35.7 hrs). Schedule shift rotation. | 📋 Pre-deploy resources 2 hours before event start.
FKID000053,unplanned,vehicle_breakdown,12.9849833,77.5883633,"Palace Road, Chalukya Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,,Bellary Road 1,High,2024-01-30 21:47:40.463+00,closed,0.5368239135135052,0.0841374,0.9910282100316341,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000054,unplanned,vehicle_breakdown,13.0127301,77.5545135,"Chord Road, World Trade Centre, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",,,West of Chord Road,High,2024-03-07 20:42:57.607+00,closed,0.2621930495578217,0.006155232,0.8942707772945652,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000055,unplanned,road_conditions,12.9842019,77.7336286,"Pattandur Agrahara Road, Vertex Tech Park, EPIP Zone, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",,,Non-corridor,Low,2024-01-30 21:54:56.083+00,closed,0.8701056375902955,0.18848704,12.02291497050049,LOW,5,0,0,60,🕐 Plan for sustained deployment (~12.0 hrs). Schedule shift rotation.
FKID000056,unplanned,vehicle_breakdown,13.2644465,77.7187627,"Bangalore Bellary Road, Nitesh Long Land, Devanahalli, Karnataka. Pin-562110 (India)",,,Non-corridor,Low,2024-01-30 19:36:33.702+00,closed,3.184577373048982,0.9053148,0.9128926697981384,MEDIUM,7,22,1,30,🚧 Pre-position barricades at both ends of affected corridor.
FKID000057,unplanned,vehicle_breakdown,12.9848257,77.7527586,"Whitefield Main Road, Prestige Park View, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",,,Non-corridor,Low,2024-01-30 22:06:02.276+00,closed,0.07623500475688079,0.018735643,0.6091573972947821,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000058,unplanned,tree_fall,12.9932986,77.5837571,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,,Bellary Road 1,High,2024-03-07 20:51:39.532+00,closed,1.0464470701727873,0.1480421,17.331412618010418,LOW,5,0,0,60,🕐 Plan for sustained deployment (~17.3 hrs). Schedule shift rotation.
FKID000059,unplanned,tree_fall,12.9937523,77.5842482,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,,Bellary Road 1,High,2024-03-07 20:47:40.64+00,closed,1.8595601925795755,0.39260218,14.883005332637294,LOW,5,0,0,60,🕐 Plan for sustained deployment (~14.9 hrs). Schedule shift rotation.
FKID000060,unplanned,tree_fall,12.9938868,77.5841876,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,,Bellary Road 1,High,2024-03-07 20:45:19.752+00,closed,1.186782539839097,0.20037998,14.883005332637294,LOW,5,0,0,60,🕐 Plan for sustained deployment (~14.9 hrs). Schedule shift rotation.
FKID000061,unplanned,vehicle_breakdown,12.9368467,77.6928653,"Outer Ring Road, Featherlite The Address, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",,,ORR East 1,High,2024-01-30 23:05:02.339+00,resolved,1.7224682920217274,0.42419583,0.7304565852015175,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000062,unplanned,tree_fall,13.0126766,77.5581246,"1st Cross Road, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",,,Non-corridor,Low,2024-03-07 20:53:37.293+00,closed,3.4301926004852743,0.93784815,8.441373892999218,MEDIUM,10,23,1,30,🚧 Pre-position barricades at both ends of affected corridor. | 🕐 Plan for sustained deployment (~8.4 hrs). Schedule shift rotation.
FKID000063,unplanned,vehicle_breakdown,12.9513113,77.4994888,"Kengeri Main Road, Ullal Junction, Jnana Bharathi, Bengaluru, Karnataka. Pin-560056 (India)",,,Non-corridor,Low,2024-01-30 23:12:23.123+00,closed,0.08061868064530057,0.018804202,0.8459415395642254,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000064,unplanned,vehicle_breakdown,13.0160964,77.5068555,"14th Cross Road, Industrial Area Stage 2, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",,,Non-corridor,Low,2024-01-30 21:21:57.881+00,closed,0.1355623962693543,0.03497775,0.7508728459513223,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000065,unplanned,pot_holes,12.9807501,77.6028238,"Infantry Road, Prestige Central, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,,CBD 1,High,2024-03-07 21:05:54.697+00,active,2.063051693483459,0.38440862,28.14980330037315,LOW,5,0,0,60,🕐 Plan for sustained deployment (~28.1 hrs). Schedule shift rotation.
FKID000066,unplanned,tree_fall,12.9165983,77.583705,"9th Main Road, Adarsh Palace Apartment, TMC Layout, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560078 (India)",,,Non-corridor,Low,2024-03-07 20:58:06.297+00,closed,0.9145788377936617,0.20316991,11.627666305450798,LOW,5,0,0,60,🕐 Plan for sustained deployment (~11.6 hrs). Schedule shift rotation.
FKID000067,unplanned,pot_holes,13.0198619,77.6562235,"Horamavu Main Road, Another Sky by Living Walls, Ashirwad Colony, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",,,,High,2024-01-31 01:04:36.275+00,active,0.5023520468968004,0.0055500646,14.738675458362271,LOW,5,0,0,60,🕐 Plan for sustained deployment (~14.7 hrs). Schedule shift rotation.
FKID000068,unplanned,pot_holes,13.0191848,77.6555127,"MBT Road, Peddanna Reddy Layout, Ashirwad Colony, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",,,ORR North 1,High,2024-01-31 01:01:36.195+00,active,0.5318064947982912,0.021635879,13.204624255840464,LOW,5,0,0,60,🕐 Plan for sustained deployment (~13.2 hrs). Schedule shift rotation.
FKID000069,unplanned,vehicle_breakdown,12.9740913,77.5452252,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",,,West of Chord Road,High,2024-01-31 00:33:27.663+00,closed,0.3102653868790576,0.021997163,0.47287536687004567,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000070,unplanned,vehicle_breakdown,12.9740971,77.5449011,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",,,West of Chord Road,High,2024-01-31 00:36:02.277+00,closed,0.360961804568381,0.036481854,0.47287536687004567,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000071,unplanned,vehicle_breakdown,12.9688926,77.569795,"Binny Mill Road, Akkimakalamna Gudi, Cottonpete, Bengaluru, Karnataka. Pin-560053 (India)",,,Non-corridor,Low,2024-01-31 01:24:44.373+00,closed,0.5641669475666048,0.15832704,0.5727043812125148,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000072,unplanned,pot_holes,12.9838737,77.5286068,"G Narayana Kumar Road, Soundarya Kamakshi, Karekallu, Kamakshipalya, Bengaluru, Karnataka. Pin-560079 (India)",,,Magadi Road,High,2024-01-30 23:46:07.351+00,closed,0.9277621352418963,0.0025782664,39.642183053321524,LOW,5,0,0,60,🕐 Plan for sustained deployment (~39.6 hrs). Schedule shift rotation.
